FECHA;PUESTOLLEGADA;NUMAUTO;NOMBREPILOTO;EQUIPO;VUELTAS;TPOCARRERA;PUESTOPARRILLA;PUNTOSCARRERA
2012/05/27;Ret;21;Vitaly Petrov;Caterham-Renault;15;Electrical;18;0
2012/05/27;Ret;14;Kamui Kobayashi;Sauber-Ferrari;5;Accident damage;11;0
2012/05/27;Ret;22;Pedro de la Rosa;HRT-Cosworth;0;Accident damage;20;0
2012/05/27;Ret;18;Pastor Maldonado;Williams-Renault;0;Accident;24;0
2012/05/27;Ret;10;Romain Grosjean;Lotus-Renault;0;Accident;4;0
2012/06/10;1;4;Lewis Hamilton;McLaren-Mercedes;70;1:32:29.586;2;25
2012/06/10;2;10;Romain Grosjean;Lotus-Renault;70;+2.5 secs;7;18
2012/06/10;3;15;Sergio Perez;Sauber-Ferrari;70;+5.2 secs;15;15
2012/06/10;4;1;Sebastian Vettel;Red Bull Racing-Renault;70;+7.2 secs;1;12
2012/06/10;5;5;Fernando Alonso;Ferrari;70;+13.4 secs;3;10
2012/06/10;6;8;Nico Rosberg;Mercedes;70;+13.8 secs;5;8
2012/06/10;7;2;Mark Webber;Red Bull Racing-Renault;70;+15.0 secs;4;6
2012/06/10;8;9;Kimi Raikkonen;Lotus-Renault;70;+15.5 secs;12;4
2012/06/10;9;14;Kamui Kobayashi;Sauber-Ferrari;70;+24.4 secs;11;2
2012/06/10;10;6;Felipe Massa;Ferrari;70;+25.2 secs;6;1
2012/06/10;11;11;Paul di Resta;Force India-Mercedes;70;+37.6 secs;8;0
2012/06/10;12;12;Nico Hulkenberg;Force India-Mercedes;70;+46.2 secs;13;0
2012/06/10;13;18;Pastor Maldonado;Williams-Renault;70;+47.0 secs;22;0
2012/06/10;14;16;Daniel Ricciardo;STR-Ferrari;70;+64.4 secs;14;0
2012/06/10;15;17;Jean-Eric Vergne;STR-Ferrari;69;+1 Lap;19;0
2012/06/10;16;3;Jenson Button;McLaren-Mercedes;69;+1 Lap;10;0
2012/06/10;17;19;Bruno Senna;Williams-Renault;69;+1 Lap;16;0
2012/06/10;18;20;Heikki Kovalainen;Caterham-Renault;69;+1 Lap;17;0
2012/06/10;19;21;Vitaly Petrov;Caterham-Renault;69;+1 Lap;18;0
2012/06/10;20;25;Charles Pic;Marussia-Cosworth;67;+3 Laps;23;0
2012/06/10;Ret;24;Timo Glock;Marussia-Cosworth;56;Brakes;21;0
2012/06/10;Ret;7;Michael Schumacher;Mercedes;43;Rear wing;9;0
2012/06/10;Ret;22;Pedro de la Rosa;HRT-Cosworth;24;Brakes;20;0
2012/06/10;Ret;23;Narain Karthikeyan;HRT-Cosworth;22;Brakes;24;0
2012/06/24;1;5;Fernando Alonso;Ferrari;57;1:44:16.649;11;25
2012/06/24;2;9;Kimi Raikkonen;Lotus-Renault;57;+6.4 secs;5;18
2012/06/24;3;7;Michael Schumacher;Mercedes;57;+12.6 secs;12;15
2012/06/24;4;2;Mark Webber;Red Bull Racing-Renault;57;+13.6 secs;19;12
2012/06/24;5;12;Nico Hulkenberg;Force India-Mercedes;57;+19.9 secs;8;10
2012/06/24;6;8;Nico Rosberg;Mercedes;57;+21.1 secs;6;8
2012/06/24;7;11;Paul di Resta;Force India-Mercedes;57;+22.8 secs;10;6
2012/06/24;8;3;Jenson Button;McLaren-Mercedes;57;+24.6 secs;9;4
2012/06/24;9;15;Sergio Perez;Sauber-Ferrari;57;+27.7 secs;15;2
2012/06/24;10;19;Bruno Senna;Williams-Renault;57;+35.9 secs;14;1
2012/06/24;11;16;Daniel Ricciardo;STR-Ferrari;57;+37.0 secs;17;0
2012/06/24;12;18;Pastor Maldonado;Williams-Renault;57;+54.6 secs;3;0
2012/06/24;13;21;Vitaly Petrov;Caterham-Renault;57;+75.8 secs;20;0
2012/06/24;14;20;Heikki Kovalainen;Caterham-Renault;57;+94.6 secs;16;0
2012/06/24;15;25;Charles Pic;Marussia-Cosworth;57;+96.5 secs;23;0
2012/06/24;16;6;Felipe Massa;Ferrari;56;+1 Lap;13;0
2012/06/24;17;22;Pedro de la Rosa;HRT-Cosworth;56;+1 Lap;21;0
2012/06/24;18;23;Narain Karthikeyan;HRT-Cosworth;56;+1 Lap;22;0
2012/06/24;19;4;Lewis Hamilton;McLaren-Mercedes;55;Accident;2;0
2012/06/24;Ret;10;Romain Grosjean;Lotus-Renault;40;Alternator;4;0
2012/06/24;Ret;1;Sebastian Vettel;Red Bull Racing-Renault;33;Alternator;1;0
2012/06/24;Ret;14;Kamui Kobayashi;Sauber-Ferrari;33;Accident damage;7;0
2012/06/24;Ret;17;Jean-Eric Vergne;STR-Ferrari;26;Accident damage;18;0
2012/06/24;DNS;24;Timo Glock;Marussia-Cosworth;0;DNS;0;0
2012/07/08;1;2;Mark Webber;Red Bull Racing-Renault;52;1:25:11.288;2;25
2012/07/08;2;5;Fernando Alonso;Ferrari;52;+3.0 secs;1;18
2012/07/08;3;1;Sebastian Vettel;Red Bull Racing-Renault;52;+4.8 secs;4;15
2012/07/08;4;6;Felipe Massa;Ferrari;52;+9.5 secs;5;12
2012/07/08;5;9;Kimi Raikkonen;Lotus-Renault;52;+10.3 secs;6;10
2012/07/08;6;10;Romain Grosjean;Lotus-Renault;52;+17.1 secs;9;8
2012/07/08;7;7;Michael Schumacher;Mercedes;52;+29.1 secs;3;6
2012/07/08;8;4;Lewis Hamilton;McLaren-Mercedes;52;+36.4 secs;8;4
2012/07/08;9;19;Bruno Senna;Williams-Renault;52;+43.3 secs;13;2
2012/07/08;10;3;Jenson Button;McLaren-Mercedes;52;+44.4 secs;16;1
2012/07/08;11;14;Kamui Kobayashi;Sauber-Ferrari;52;+45.3 secs;17;0
2012/07/08;12;12;Nico Hulkenberg;Force India-Mercedes;52;+47.8 secs;14;0
2012/07/08;13;16;Daniel Ricciardo;STR-Ferrari;52;+51.2 secs;12;0
2012/07/08;14;17;Jean-Eric Vergne;STR-Ferrari;52;+53.3 secs;23;0
2012/07/08;15;8;Nico Rosberg;Mercedes;52;+57.3 secs;11;0
2012/07/08;16;18;Pastor Maldonado;Williams-Renault;51;+1 Lap;7;0
2012/07/08;17;20;Heikki Kovalainen;Caterham-Renault;51;+1 Lap;19;0
2012/07/08;18;24;Timo Glock;Marussia-Cosworth;51;+1 Lap;20;0
2012/07/08;19;25;Charles Pic;Marussia-Cosworth;51;+1 Lap;24;0
2012/07/08;20;22;Pedro de la Rosa;HRT-Cosworth;50;+2 Laps;21;0
2012/07/08;21;23;Narain Karthikeyan;HRT-Cosworth;50;+2 Laps;22;0
2012/07/08;Ret;15;Sergio Perez;Sauber-Ferrari;11;Accident;15;0
2012/07/08;Ret;11;Paul di Resta;Force India-Mercedes;2;Retired;10;0
2012/07/08;DNS;21;Vitaly Petrov;Caterham-Renault;0;Engine;18;0
2012/07/22;1;5;Fernando Alonso;Ferrari;67;1:31:05.862;1;25
2012/07/22;2;3;Jenson Button;McLaren-Mercedes;67;+6.9 secs;6;18
2012/07/22;3;9;Kimi Raikkonen;Lotus-Renault;67;+16.4 secs;10;15
2012/07/22;4;14;Kamui Kobayashi;Sauber-Ferrari;67;+21.9 secs;12;12
2012/07/22;5;1;Sebastian Vettel;Red Bull Racing-Renault;67;+23.7 secs;2;10
2012/07/22;6;15;Sergio Perez;Sauber-Ferrari;67;+27.8 secs;17;8
2012/07/22;7;7;Michael Schumacher;Mercedes;67;+28.9 secs;3;6
2012/07/22;8;2;Mark Webber;Red Bull Racing-Renault;67;+46.9 secs;8;4
2012/07/22;9;12;Nico Hulkenberg;Force India-Mercedes;67;+48.1 secs;4;2
2012/07/22;10;8;Nico Rosberg;Mercedes;67;+48.8 secs;21;1
2012/07/22;11;11;Paul di Resta;Force India-Mercedes;67;+59.2 secs;9;0
2012/07/22;12;6;Felipe Massa;Ferrari;67;+71.4 secs;13;0
2012/07/22;13;16;Daniel Ricciardo;STR-Ferrari;67;+76.8 secs;11;0
2012/07/22;14;17;Jean-Eric Vergne;STR-Ferrari;67;+76.9 secs;15;0
